rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
261,DJ Snake,"24,100,000","8,425,505,919",Music,DJ Snake,252,United States,US,Music,602,77,76,"63,293,000","$15,800.00 ","$253,200.00 ","$189,900.00 ","$3,000,000.00 ",0,24-Sep-08,37.09024,-95.712891
262,Diana and Roma ARA,"24,100,000","11,041,261,296",NA,Diana and Roma ARA,590,United States,US,Entertainment,379,76,70,"66,884,000","$16,700.00 ","$267,500.00 ","$200,700.00 ","$3,200,000.00 ","200,000",1-Feb-19,37.09024,-95.712891
263,KSI,"24,100,000","6,002,166,932",Entertainment,KSI,"1,252",United Kingdom,GB,Music,"1,053",10,76,"5,439,000","$1,400.00 ","$21,800.00 ","$16,300.00 ","$261,100.00 ",0,25-Jul-09,55.378051,-3.435973
264,Spider Slack,"24,000,000","13,943,030,228",Comedy,Spider Slack,901,Brazil,BR,Comedy,252,13,14,"761,451,000","$190,400.00 ","$3,000,000.00 ","$2,300,000.00 ","$36,500,000.00 ","1,100,000",18-May-20,-14.235004,-51.92528
265,Goldmines Movies,"24,000,000","5,652,938,599",Film & Animation,Ti Ti,3,NA,NA,People,"4,057,888",NA,"7,725",3,$0.00 ,$0.00 ,$0.00 ,$0.10 ,0,30-Apr-18,nan,nan
266,Preston,"24,000,000","8,279,004,442",Gaming,Preston,"4,009",United States,US,Entertainment,621,78,72,"151,697,000","$37,900.00 ","$606,800.00 ","$455,100.00 ","$7,300,000.00 ","200,000",4-Jul-12,37.09024,-95.712891
267,James Charles,"23,900,000","4,067,878,931",Entertainment,James Charles,505,United States,US,Entertainment,"1,860",79,73,"58,126,000","$14,500.00 ","$232,500.00 ","$174,400.00 ","$2,800,000.00 ","100,000",1-Dec-15,37.09024,-95.712891
268,Collins Key,"23,900,000","6,582,932,625",Entertainment,Collins Key,257,United States,US,Entertainment,911,79,73,"10,853,000","$2,700.00 ","$43,400.00 ","$32,600.00 ","$520,900.00 ",0,9-Aug-11,37.09024,-95.712891
269,Diana and Roma EN,"23,900,000","7,213,499,085",People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787,79,73,"177,769,000","$44,400.00 ","$711,100.00 ","$533,300.00 ","$8,500,000.00 ","300,000",22-Dec-11,37.09024,-95.712891
270,Venus Entertainment,"23,800,000","5,663,125,358",Entertainment,Venus Entertainment,70,NA,NA,Entertainment,"367,929",NA,"2,500","31,633",$8.00 ,$127.00 ,$95.00 ,"$1,500.00 ",0,17-May-16,nan,nan
271,Troom Troom,"23,800,000","10,414,479,943",Howto & Style,Troom Troom,"2,425",United States,US,Howto,412,80,8,"98,052,000","$24,500.00 ","$392,200.00 ","$294,200.00 ","$4,700,000.00 ","100,000",12-Sep-15,37.09024,-95.712891
272,Enrique Iglesias,"23,800,000","17,688,774,915",Music,Enrique Iglesias,443,United States,US,Music,154,80,77,"122,914,000","$30,700.00 ","$491,700.00 ","$368,700.00 ","$5,900,000.00 ","100,000",12-Apr-07,37.09024,-95.712891
273,Ninja,"23,700,000","2,543,809,954",Gaming,Ninja,"1,732",United States,US,Games,"3,590",81,19,"8,368,000","$2,100.00 ","$33,500.00 ","$25,100.00 ","$401,700.00 ",0,11-Nov-11,37.09024,-95.712891
274,FaZe Rug,"23,700,000","7,451,792,132",Gaming,FaZeRug,0,Canada,CA,Games,"4,057,944","3,885","7,268",NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1,30-Nov-12,56.130366,-106.346771
275,Mister Max,"23,700,000","15,510,153,803",People & Blogs,Mister Max,"1,099",United Kingdom,GB,Entertainment,208,11,74,"32,817,000","$8,200.00 ","$131,300.00 ","$98,400.00 ","$1,600,000.00 ",0,22-Sep-14,55.378051,-3.435973
276,That Little Puff,"23,700,000","20,289,689,389",Pets & Animals,That Little Puff,769,United States,US,Animals,118,81,1,"755,054,000","$188,800.00 ","$3,000,000.00 ","$2,300,000.00 ","$36,200,000.00 ","1,100,000",29-Aug-20,37.09024,-95.712891
277,NickyJamTV,"23,600,000","15,901,824,841",Music,NickyJamTV,392,NA,NA,Music,193,3,78,"77,927,000","$19,500.00 ","$311,700.00 ","$233,800.00 ","$3,700,000.00 ","100,000",10-Jan-12,nan,nan
278,Juan De Dios Pantoja,"23,600,000","2,135,644,776",Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,"4,529",11,10,"46,862,000","$11,700.00 ","$187,400.00 ","$140,600.00 ","$2,200,000.00 ","200,000",9-Jun-14,23.634501,-102.552784
279,Logan Paul,"23,600,000","5,994,002,464",Entertainment,Logan Paul,719,United States,US,Entertainment,"1,057",82,75,"10,803,000","$2,700.00 ","$43,200.00 ","$32,400.00 ","$518,600.00 ",0,29-Aug-15,37.09024,-95.712891
280,Maya and Mary,"23,600,000","6,766,461,070",Entertainment,Maya and Mary,552,United States,US,Entertainment,883,82,75,"44,542,000","$11,100.00 ","$178,200.00 ","$133,600.00 ","$2,100,000.00 ","400,000",30-Aug-13,37.09024,-95.712891
